0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
0.466766;-0.483779;-0.161912;1.03807;0.0829718;0.663201;0.777683;0.104624;-0.352287;0.0817241;-0.447946;0.636996;-0.163756;1.30401;0.624977;0.600822;0.394128;0.380992;-1.00855;-0.0894403;0.0475869;0.655867;1.09651;-0.110147;-0.717512;0.359645;0.788646;1.78497;1.21924;0.802315;0.448672;-0.743762;-0.898402;-1.53775;-0.0256884;-0.170978;-0.842368;-0.128133;-0.710965;-1.5106;-0.805731;-0.0499784;-0.1182;1.40903;0.43006;-0.290329;-0.896201;0.57162;1.28939;3.53536;9.3306
-1.2702;0.646718;0.963848;0.46087;1.53655;0.366547;-0.861646;0.710401;0.0833988;-0.456021;-0.822003;-0.923059;-1.67347;0.377675;0.0470685;0.345197;0.527313;-0.257039;0.329383;0.0909658;0.950391;-1.54311;0.36368;-0.256752;-0.260747;-0.591355;-0.442434;-0.659547;0.535661;-0.132668;0.597179;-0.233465;0.224938;0.17141;-0.440936;-0.413653;0.554575;-0.0299886;-0.46923;-0.620055;0.315114;0.0140848;-0.0797431;-0.0307561;-1.55224;0.0889536;0.13846;0.81204;1.13358;2.72646;9.3306
0.091728;-1.12461;0.20802;-0.178443;1.33134;0.46214;0.565504;1.1353;0.71436;-0.64023;-1.22447;0.222876;0.656038;-0.771123;-0.0221699;0.355198;0.0149714;0.164889;-1.54924;-0.10681;-0.195092;0.475687;0.17665;-0.348863;-0.901279;-1.0674;-1.42744;-0.126987;-0.773732;-0.115497;-0.59086;0.208878;0.0571919;0.444786;0.501962;-0.273526;0.0119816;-0.553696;0.454418;0.307737;-0.68806;-0.272515;-0.471528;-0.321878;0.415771;0.981862;0.545663;0.488839;1.54069;3.04463;9.3306
0.134495;0.561235;0.153722;0.580054;6.16822e-05;-0.716243;-0.726448;0.82466;-0.513306;-0.228394;-0.166537;0.107389;0.481782;0.384341;0.529549;-0.902834;-0.929494;-0.242063;0.526957;0.323573;0.736147;-0.570226;0.167745;-0.340296;-0.142854;0.00973371;-0.0373805;-0.53612;0.441591;-0.0229358;0.578389;0.706564;0.264303;0.23004;-1.02794;-1.84039;0.240027;-0.91355;-0.165075;-0.40276;-0.104491;0.230504;-0.044393;-0.361053;0.120864;1.4378;-0.729046;-0.453474;1.26415;4.06107;9.3306
-0.537542;-0.240986;0.480556;-0.354139;0.168155;-0.482256;0.67255;0.307382;-0.00584342;0.371194;-0.206667;1.14575;0.443527;0.457118;0.026918;-0.059571;-0.518824;-0.579903;-0.316284;0.682471;-0.300602;1.26213;-0.267966;-0.130098;-0.471456;0.482785;0.452762;0.723683;0.401189;-0.690278;0.381896;-0.0459063;0.393448;-0.698677;-0.100865;-1.50276;-0.600267;-0.904012;-0.765044;0.244579;-0.784354;-0.587751;0.307271;0.438958;-0.479646;0.626063;0.211725;1.17145;1.40627;3.71804;9.3306
-0.354321;-0.289611;-0.328315;-0.54039;0.0575867;-0.928772;0.909931;1.18756;0.429434;0.14501;-0.0359042;-0.258597;-0.173188;0.619461;-0.688968;-0.0595932;-0.0945001;0.541331;0.250196;0.27124;0.0985514;-0.213146;0.183142;0.461283;1.04129;0.621378;1.16207;0.400198;0.129587;0.347881;-0.996324;-1.20091;0.0716922;0.283759;-0.0435049;-0.713134;-0.993149;-0.718779;0.100661;0.82101;-0.0866774;-0.284489;0.261205;0.761789;0.456426;-0.511228;0.16811;0.20048;1.24707;3.77385;9.3306
0.0806461;0.433913;1.28543;-0.0908615;-1.1551;-0.765133;0.122573;-0.380736;-0.854738;0.671967;-0.398557;-0.0491907;-0.139315;1.06054;0.847934;-0.695136;-5.65347e-05;-0.672851;-0.234885;-0.660055;-0.908449;-0.64942;0.309536;-0.116761;-0.169019;0.286317;-0.0270231;-1.10472;0.269316;-0.34586;-0.165167;0.230618;-1.63911;-0.861184;1.55315;0.627431;-0.0584269;-0.54684;0.375285;-0.144299;0.145728;-0.279011;-0.722086;0.314375;0.515199;1.18517;-0.342447;-0.116597;0.496865;3.70289;9.3306
-0.0748443;-0.427014;0.0358629;-0.506489;-0.820663;0.0913184;-0.0667166;-0.0515407;0.133735;1.14251;0.436364;-0.133661;0.292396;1.13079;0.691346;0.776061;1.31281;-0.039318;-0.505683;-0.88915;0.772821;1.90929;0.83576;1.42156;-0.20261;-0.123916;-0.0222354;-1.25418;-1.22743;-0.275273;0.131642;0.690486;0.787289;0.105813;1.00108;1.33735;2.20956;0.759365;0.237632;-1.03833;0.666352;0.844801;0.0798039;1.10095;-0.0939051;1.17683;0.99249;1.93554;1.2045;3.63812;9.3306
-0.282779;-0.113968;-0.135971;-0.017393;0.397925;0.499438;0.0725529;0.231178;0.145273;-0.15783;1.06158;1.68587;-0.00451365;0.117059;-0.376521;0.312204;1.2571;1.22641;0.336425;-0.696591;0.163417;0.612696;0.464986;0.466448;0.184937;1.97385;0.854378;0.382946;0.470772;-0.229363;1.3569;1.52553;0.833941;0.342803;0.275721;-1.20833;-0.889349;-0.44818;-1.02878;0.539137;0.110205;0.219544;-0.26637;-0.703336;-0.280696;-1.322;-0.321186;0.301151;1.71308;4.68668;9.3306
-0.435863;0.337273;-0.0556941;-0.0161543;-0.370378;-0.495989;0.412943;0.373486;0.865836;0.691871;-0.228574;0.590044;-0.265177;-0.830112;-1.6151;-0.31049;0.264742;-0.127705;0.348493;-0.0829977;0.599254;0.672025;0.621335;0.379521;0.523268;-0.347227;-0.864057;-0.438557;0.714836;-0.535004;-0.798705;-0.105831;-0.429214;-1.0009;-0.00659499;-2.07157;-0.584349;-0.371687;0.991002;-0.640957;-0.2765;0.0863069;0.024717;0.148894;-0.260785;-0.534008;0.955933;1.44249;2.54354;3.89795;9.3306
